Low,Median,High,Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position
27.0,39.96,47.0,ON,Medical laboratory technologists ,32120,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
32.0,42.0,48.0,ON,Medical radiation technologists ,32121,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
30.0,38.0,45.0,ON,Medical sonographers ,32122,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
28.0,32.0,44.6,ON,Cardiology technologists and electrophysiological diagnostic technologists ,32123,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
16.55,20.0,30.0,ON,Pharmacy technicians ,32124,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
16.55,18.0,28.0,ON,Other medical technologists and technicians ,32129,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
,18.97,,ON,Traditional Chinese medicine practitioners and acupuncturists ,32200,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
18.97,18.97,30.73,ON,Massage therapists ,32201,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
18.97,18.97,39.48,ON,Other practitioners of natural healing ,32209,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
20.0,25.0,30.0,ON,Dental assistants and dental laboratory assistants ,33100,3,33,Health occupations,Assisting occupations in support of health services,3,General Occupations/Trades
16.83,25.96,36.81,ON,Medical laboratory assistants and related technical occupations ,33101,3,33,Health occupations,Assisting occupations in support of health services,3,General Occupations/Trades
17.0,22.0,27.47,ON,"Nurse aides, orderlies and patient service associates ",33102,3,33,Health occupations,Assisting occupations in support of health services,3,General Occupations/Trades
16.55,22.0,33.0,ON,Pharmacy technical assistants and pharmacy assistants ,33103,3,33,Health occupations,Assisting occupations in support of health services,3,General Occupations/Trades
16.55,20.0,28.0,ON,Other assisting occupations in support of health services ,33109,3,33,Health occupations,Assisting occupations in support of health services,3,General Occupations/Trades
38.46,60.44,82.05,ON,Government managers - health and social policy development and program administration ,40010,4,40,"Occupations in education, law and social, community and government services","Managers in public administration, in education and social and community services and in public protection services",0,Managers
51.28,58.97,76.92,ON,"Government managers - economic analysis, policy development and program administration ",40011,4,40,"Occupations in education, law and social, community and government services","Managers in public administration, in education and social and community services and in public protection services",0,Managers
26.6,46.77,72.45,ON,Government managers - education policy development and program administration ,40012,4,40,"Occupations in education, law and social, community and government services","Managers in public administration, in education and social and community services and in public protection services",0,Managers
38.11,59.5,74.87,ON,Other managers in public administration ,40019,4,40,"Occupations in education, law and social, community and government services","Managers in public administration, in education and social and community services and in public protection services",0,Managers
34.19,52.88,82.42,ON,Administrators - post-secondary education and vocational training ,40020,4,40,"Occupations in education, law and social, community and government services","Managers in public administration, in education and social and community services and in public protection services",0,Managers
33.65,54.33,67.31,ON,School principals and administrators of elementary and secondary education ,40021,4,40,"Occupations in education, law and social, community and government services","Managers in public administration, in education and social and community services and in public protection services",0,Managers
