Occupation (NOC),Low,Median,High,Province
"Textile fibre and yarn, hide and pelt processing machine operators and workers (94130)",16.55,18.2,24.56,ON
"Weavers, knitters and other fabric making occupations (94131)",16.55,17,22.21,ON
Industrial sewing machine operators (94132),16.55,16.55,20,ON
"Inspectors and graders, textile, fabric, fur and leather products manufacturing (94133)",16.55,16.55,20,ON
"Process control and machine operators, food and beverage processing (94140)",16.55,19.95,28.05,ON
"Industrial butchers and meat cutters, poultry preparers and related workers (94141)",16.55,21.5,25,ON
Fish and seafood plant workers (94142),16.55,20,29.68,ON
"Testers and graders, food and beverage processing (94143)",16.55,22.12,38.46,ON
Plateless printing equipment operators (94150),16.55,20.33,28.65,ON
"Camera, platemaking and other prepress occupations (94151)",17.34,27.36,41.91,ON
Binding and finishing machine operators (94152),16.55,19.48,27.5,ON
Photographic and film processors (94153),16.55,17.99,26.66,ON
"Motor vehicle assemblers, inspectors and testers (94200)",20,26.62,37,ON
"Electronics assemblers, fabricators, inspectors and testers (94201)",16.55,19,30,ON
"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing (94202)",16.55,23,33.33,ON
"Assemblers, fabricators and inspectors, industrial electrical motors and transformers (94203)",16.75,22,38.46,ON
Mechanical assemblers and inspectors (94204),16.55,22.22,28.85,ON
"Machine operators and inspectors, electrical apparatus manufacturing (94205)",16.55,19.97,25.82,ON
"Furniture and fixture assemblers, finishers, refinishers and inspectors (94210)",16.55,19,26,ON
Assemblers and inspectors of other wood products (94211),16.55,18,25,ON
"Plastic products assemblers, finishers and inspectors (94212)",16.55,19,22.23,ON
"Industrial painters, coaters and metal finishing process operators (94213)",18,23,33,ON
"Other products assemblers, finishers and inspectors (94219)",16.55,20,27.51,ON
Labourers in mineral and metal processing (95100),17,22.5,32.76,ON
Labourers in metal fabrication (95101),16.55,20.87,28.23,ON
Labourers in chemical products processing and utilities (95102),17,24,37.77,ON
"Labourers in wood, pulp and paper processing (95103)",16.55,20,27.49,ON
Labourers in rubber and plastic products manufacturing (95104),16.55,18.65,29,ON
Labourers in textile processing and cutting (95105),16.55,18,24.87,ON
Labourers in food and beverage processing (95106),16.55,18.27,26,ON
Labourers in fish and seafood processing (95107),16.55,17,19,ON
"Other labourers in processing, manufacturing and utilities (95109)",16.55,18,23.1,ON
Legislators (00010),"35,592","76,000","166,000",BC
Senior government managers and officials (00011),34.72,57.17,135.9,BC
"Senior managers - financial, communications and other business services (00012)",48.27,92.31,125,BC
"Senior managers - trade, broadcasting and other services (00014)",23.27,38.46,82.05,BC
"Senior managers - construction, transportation, production and utilities (00015)",24.33,45.42,97.44,BC
Financial managers (10010),33.62,54,91.35,BC
Human resources managers (10011),36.53,56.41,80.22,BC
Purchasing managers (10012),36,58.94,73.85,BC
Other administrative services managers (10019),28.85,49.74,96.15,BC
"Insurance, real estate and financial brokerage managers (10020)",34.62,50,76.92,BC
"Banking, credit and other investment managers (10021)",27.69,49.15,95.19,BC
"Advertising, marketing and public relations managers (10022)",28.85,52.88,96.15,BC
Other business services managers (10029),32.69,43.96,69.23,BC
Telecommunication carriers managers (10030),36.86,46.15,66.67,BC
Financial auditors and accountants (11100),23.08,37.33,58,BC
Financial and investment analysts (11101),26,37.83,61.54,BC
Financial advisors (11102),23.08,38.46,76.92,BC
"Securities agents, investment dealers and brokers (11103)",26.44,36.54,61.54,BC
Other financial officers (11109),22.05,40.87,76.92,BC
Human resources professionals (11200),25,38.46,61.54,BC
Professional occupations in business management consulting (11201),26.13,40.51,62.5,BC
"Professional occupations in advertising, marketing and public relations (11202)",18.5,28.75,55.38,BC
"Supervisors, general office and administrative support workers (12010)",22.56,31,45,BC
"Supervisors, finance and insurance office workers (12011)",20,32.45,52.54,BC
"Supervisors, library, correspondence and related information workers (12012)",22.34,29.53,42,BC
"Supervisors, supply chain, tracking and scheduling coordination occupations (12013)",20,31.25,44.28,BC
Executive assistants (12100),20.19,31.2,48.08,BC
Human resources and recruitment officers (12101),20.19,29.23,62.5,BC
Procurement and purchasing agents and officers (12102),24.5,36.92,48.62,BC
Conference and event planners (12103),18,28.68,43.5,BC
Employment insurance and revenue officers (12104),26,31.6,45,BC
"Court reporters, medical transcriptionists and related occupations (12110)",22,25.71,30,BC
Health information management occupations (12111),29,31.41,41,BC
Records management technicians (12112),22.55,29.44,44.44,BC
Statistical officers and related research support occupations (12113),16.75,30.52,52.05,BC
Accounting technicians and bookkeepers (12200),18,25.38,42.86,BC
Insurance adjusters and claims examiners (12201),22.76,35.38,50,BC
Insurance underwriters (12202),20.63,40.87,68.68,BC
"Assessors, business valuators and appraisers (12203)",16.75,36.08,56.39,BC
Administrative officers (13100),20.11,28.77,43.75,BC
Property administrators (13101),17.5,25.85,46,BC
Payroll administrators (13102),20,27.88,38.58,BC
Administrative assistants (13110),17.86,25.07,35,BC
Legal administrative assistants (13111),19.38,26,39.56,BC
Medical administrative assistants (13112),20,23,29.57,BC
"Customs, ship and other brokers (13200)",17.76,27.39,49.59,BC
Production and transportation logistics coordinators (13201),18.5,24.04,32.69,BC
General office support workers (14100),16.75,23,32.05,BC
Receptionists (14101),16.75,21,27,BC
Personnel clerks (14102),22,25.42,35.6,BC
Court clerks and related court services occupations (14103),28.21,31,48,BC
Survey interviewers and statistical clerks (14110),17,23,43.27,BC
Data entry clerks (14111),17,24,40.38,BC
Accounting and related clerks (14200),17.6,23.81,33.33,BC
"Banking, insurance and other financial clerks (14201)",19,24.26,32.21,BC
Collection clerks (14202),19,25.96,33.33,BC
Library assistants and clerks (14300),16.75,25,31.56,BC
"Correspondence, publication and regulatory clerks (14301)",18.86,28,39.9,BC
Shippers and receivers (14400),16.75,20,30,BC
Storekeepers and partspersons (14401),20,26.51,42,BC
Production logistics workers (14402),16.91,27.99,46.65,BC
Purchasing and inventory control workers (14403),17,24,42.5,BC
Dispatchers (14404),17.75,28,38.46,BC
Transportation route and crew schedulers (14405),19.32,29.73,47.81,BC
Engineering managers (20010),42,60,88.94,BC
Architecture and science managers (20011),36.54,50.6,84.38,BC
Computer and information systems managers (20012),37,59.62,92.31,BC
Physicists and astronomers (21100),29.51,50.3,88.14,BC
Chemists (21101),25,46.7,74.36,BC
Geoscientists and oceanographers (21102),36.15,62.5,86.54,BC
Meteorologists and climatologists (21103),N/A,53.47,N/A,BC
Biologists and related scientists (21110),25.96,36.5,52.2,BC
Forestry professionals (21111),30.3,36.25,54.27,BC
"Agricultural representatives, consultants and specialists (21112)",19.59,35.19,49.93,BC
Public and environmental health and safety professionals (21120),25.24,38.5,57.69,BC
Architects (21200),25.24,43.27,71.79,BC
Landscape architects (21201),19.67,36.54,54.7,BC
Urban and land use planners (21202),30,48.89,62.5,BC
Land surveyors (21203),25,37,55,BC
"Mathematicians, statisticians and actuaries (21210)",38.46,42.31,48.08,BC
Data scientists (21211),22.67,46.1,83.56,BC
Cybersecurity specialists (21220),25,47.34,69.23,BC
Business systems specialists (21221),26.44,44.06,61.05,BC
Information systems specialists (21222),26,42,62.37,BC
Database analysts and data administrators (21223),21.88,38,57.69,BC
Computer systems developers and programmers (21230),23.08,41.03,62.5,BC
Software engineers and designers (21231),32.69,53.84,86.54,BC
Software developers and programmers (21232),26,46.09,72.12,BC
Web designers (21233),22,30.29,49.23,BC
Web developers and programmers (21234),16.75,36.72,61.43,BC
Civil engineers (21300),27.44,52.85,88,BC
Mechanical engineers (21301),24.04,38.46,74.52,BC
Electrical and electronics engineers (21310),28.85,48.72,72.12,BC
Computer engineers (except software engineers and designers) (21311),25.85,42,61.54,BC
Chemical engineers (21320),23.13,47.78,75.5,BC
Industrial and manufacturing engineers (21321),20.83,44.23,78.85,BC
Metallurgical and materials engineers (21322),18.65,47.1,75.54,BC
Mining engineers (21330),32.05,47.62,60,BC
Geological engineers (21331),28.01,49.83,90.69,BC
Petroleum engineers (21332),N/A,46.7,N/A,BC
Aerospace engineers (21390),23.38,45.72,63.63,BC
Other professional engineers (21399),30,43.5,64.9,BC
Chemical technologists and technicians (22100),18.5,21,32.69,BC
Geological and mineral technologists and technicians (22101),17.5,32,78.38,BC
Biological technologists and technicians (22110),17.86,23.41,30.44,BC
Agricultural and fish products inspectors (22111),20.36,33.45,45.57,BC
Forestry technologists and technicians (22112),19.5,29.81,44.23,BC
Conservation and fishery officers (22113),26.67,36.75,46.7,BC
Landscape and horticulture technicians and specialists (22114),18,23,30,BC
Architectural technologists and technicians (22210),21,31.25,49.25,BC
Industrial designers (22211),24.64,38.43,65.04,BC
Drafting technologists and technicians (22212),22,32,43.59,BC
Land survey technologists and technicians (22213),20.89,38.46,46,BC
Technical occupations in geomatics and meteorology (22214),25,36,45,BC
Computer network and web technicians (22220),23.08,31.25,45.05,BC
User support technicians (22221),20.19,30.77,48.08,BC
Information systems testing technicians (22222),19,34.62,44.23,BC
Non-destructive testers and inspectors (22230),22.5,36.95,52.88,BC
Engineering inspectors and regulatory officers (22231),28,42,76.92,BC
Occupational health and safety specialists (22232),20,40,58,BC
Construction inspectors (22233),25,36,55.24,BC
Civil engineering technologists and technicians (22300),20.8,34.62,49,BC
Mechanical engineering technologists and technicians (22301),22.6,31.28,48.08,BC
Industrial engineering and manufacturing technologists and technicians (22302),21,36.06,45,BC
Construction estimators (22303),24.04,38.46,67.31,BC
Electrical and electronics engineering technologists and technicians (22310),23.5,36,46.25,BC
Electronic service technicians (household and business equipment) (22311),19.95,28,37,BC
Industrial instrument technicians and mechanics (22312),23.09,46.78,74.17,BC
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors (22313)",21.24,37.64,53.57,BC
Managers in health care (30010),31.25,49.9,69.71,BC
Specialists in clinical and laboratory medicine (31100),"98,649","244,221","478,586",BC
Specialists in surgery (31101),"121,235","356,859","734,942",BC
General practitioners and family physicians (31102),"69,539","178,810","335,444",BC
Veterinarians (31103),38.48,60,88.94,BC
Dentists (31110),"35,592","84,000","214,000",BC
Optometrists (31111),"35,592","69,500","145,000",BC
Audiologists and speech-language pathologists (31112),33.33,43.5,49.45,BC
Pharmacists (31120),32.85,46.5,60,BC
Dietitians and nutritionists (31121),24.61,40,44.45,BC
Psychologists (31200),21,45,96.15,BC
Chiropractors (31201),"35,592","60,000","130,000",BC
Physiotherapists (31202),28.85,43.27,52.88,BC
Occupational therapists (31203),30,42,63,BC
Kinesiologists and other professional occupations in therapy and assessment (31204),23,27.97,39.9,BC
Other professional occupations in health diagnosing and treating (31209),"35,592","71,500","124,000",BC
Nursing coordinators and supervisors (31300),25.5,46,52.88,BC
Registered nurses and registered psychiatric nurses (31301),31.2,43,50,BC
Nurse practitioners (31302),35,57,66.67,BC
"Physician assistants, midwives and allied health professionals (31303)",25.19,39.24,47.97,BC
Opticians (32100),22,27,40.87,BC
Licensed practical nurses (32101),24,31,33,BC
Paramedical occupations (32102),24.5,35.4,49,BC
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists (32103)",33.81,38.5,50,BC
Animal health technologists and veterinary technicians (32104),16.75,21,26,BC
Other technical occupations in therapy and assessment (32109),18,24,36.06,BC
Denturists (32110),N/A,"44,400",N/A,BC
Dental hygienists and dental therapists (32111),37.5,48,55,BC
Dental technologists and technicians (32112),25,26,33,BC
Medical laboratory technologists (32120),25,37,46,BC
Medical radiation technologists (32121),32,39,47.65,BC
Medical sonographers (32122),32,40,47,BC
Cardiology technologists and electrophysiological diagnostic technologists (32123),31.2,36,39.1,BC
Pharmacy technicians (32124),16.75,21,29.85,BC
Other medical technologists and technicians (32129),17,20,29.8,BC
Traditional Chinese medicine practitioners and acupuncturists (32200),"35,592","35,592","71,000",BC
Massage therapists (32201),"35,592","43,600","81,000",BC
Other practitioners of natural healing (32209),N/A,"35,592",N/A,BC
Dental assistants and dental laboratory assistants (33100),20,27,35,BC
Medical laboratory assistants and related technical occupations (33101),22,25.51,32.97,BC
"Nurse aides, orderlies and patient service associates (33102)",20,25,26,BC
