Occupation (NOC),Low,Median,High,Province
Construction millwrights and industrial mechanics (72400),20.5,32.96,44,ON
Heavy-duty equipment mechanics (72401),22,32,45,ON
"Heating, refrigeration and air conditioning mechanics (72402)",20,31.47,45.88,ON
Railway carmen/women (72403),25,36,43,ON
Aircraft mechanics and aircraft inspectors (72404),23,38,47,ON
Machine fitters (72405),20.55,31.1,48.67,ON
Elevator constructors and mechanics (72406),32,50,60,ON
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",17.24,28,42,ON
"Auto body collision, refinishing and glass technicians and damage repair estimators (72411)",17,26.22,38,ON
Oil and solid fuel heating mechanics (72420),18,24,34,ON
Appliance servicers and repairers (72421),18,24.1,38.46,ON
Electrical mechanics (72422),24.04,30,48,ON
"Motorcycle, all-terrain vehicle and other related mechanics (72423)",18,28,38,ON
Other small engine and small equipment repairers (72429),20,23.8,32.63,ON
Crane operators (72500),22.5,35,47,ON
Water well drillers (72501),20.24,26,32,ON
"Air pilots, flight engineers and flying instructors (72600)",18.89,48.08,100.48,ON
Air traffic controllers and related occupations (72601),20,45,73.96,ON
"Deck officers, water transport (72602)",19,29,115.38,ON
"Engineer officers, water transport (72603)",N/A,40.51,N/A,ON
Railway traffic controllers and marine traffic regulators (72604),28.86,39.27,54.79,ON
Other technical trades and related occupations (72999),20,23,36.92,ON
Concrete finishers (73100),22,33,41,ON
Tilesetters (73101),21,32.41,41.45,ON
"Plasterers, drywall installers and finishers and lathers (73102)",21,32.77,44,ON
Roofers and shinglers (73110),20,27,39.39,ON
Glaziers (73111),19.35,28.24,40.84,ON
Painters and decorators (except interior decorators) (73112),18,23,32,ON
Floor covering installers (73113),18,20,37,ON
Residential and commercial installers and servicers (73200),18,24,36,ON
General building maintenance workers and building superintendents (73201),16.55,21.14,30,ON
Pest controllers and fumigators (73202),17.31,21,33.33,ON
Other repairers and servicers (73209),16.55,21,33.27,ON
Transport truck drivers (73300),18.45,25,34.91,ON
"Bus drivers, subway operators and other transit operators (73301)",16.55,21.79,36.15,ON
Railway and yard locomotive engineers (73310),25,32,57.69,ON
Railway conductors and brakemen/women (73311),22,35,48.08,ON
Heavy equipment operators (73400),21,29,44,ON
Printing press operators (73401),18,25,38,ON
"Drillers and blasters - surface mining, quarrying and construction (73402)",23,32,43.25,ON
Mail and parcel sorters and related occupations (74100),17,27.6,30,ON
Letter carriers (74101),21.7,27.5,31.25,ON
Couriers and messengers (74102),16.55,18,30,ON
Railway yard and track maintenance workers (74200),21,32,37.62,ON
Water transport deck and engine room crew (74201),17,28.46,33.67,ON
Air transport ramp attendants (74202),16.55,23,34,ON
Automotive and heavy truck and equipment parts installers and servicers (74203),16.55,18,24,ON
Utility maintenance workers (74204),19.57,31.25,45,ON
Public works maintenance equipment operators and related workers (74205),21,27,33.8,ON
Longshore workers (75100),16.7,19.8,28.7,ON
Material handlers (75101),16.55,19.34,27.63,ON
Construction trades helpers and labourers (75110),16.55,23,38,ON
Other trades helpers and labourers (75119),16.55,20,35.4,ON
Taxi and limousine drivers and chauffeurs (75200),16.55,17.5,33.5,ON
Delivery service drivers and door-to-door distributors (75201),16.55,18,31,ON
Boat and cable ferry operators and related occupations (75210),17,25.42,30,ON
Railway and motor transport labourers (75211),16.55,19.87,28,ON
Public works and maintenance labourers (75212),20,26.1,32,ON
Managers in natural resources production and fishing (80010),25,58.89,111.36,ON
Managers in agriculture (80020),17.77,24,39.18,ON
Managers in horticulture (80021),16.55,20.92,38.65,ON
"Supervisors, logging and forestry (82010)",20,36.63,48,ON
"Supervisors, mining and quarrying (82020)",29.76,48,69.71,ON
"Contractors and supervisors, oil and gas drilling and services (82021)",N/A,41.29,N/A,ON
Agricultural service contractors and farm supervisors (82030),16.55,20,38.46,ON
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services (82031)",18,27,44.44,ON
Underground production and development miners (83100),25.95,37.06,51.44,ON
"Oil and gas well drillers, servicers, testers and related workers (83101)",19,29.19,42.08,ON
Logging machinery operators (83110),24.04,28,32.5,ON
Underground mine service and support workers (84100),19,26.33,48,ON
Oil and gas well drilling and related workers and services operators (84101),21,28,37.5,ON
Chain saw and skidder operators (84110),18,25,31.5,ON
Silviculture and forestry workers (84111),18,23.92,30.7,ON
Specialized livestock workers and farm machinery operators (84120),16.55,18,31.5,ON
Livestock labourers (85100),16.55,19,27.69,ON
Harvesting labourers (85101),16.55,16.55,20,ON
Nursery and greenhouse labourers (85103),16.55,18,25,ON
Mine labourers (85110),20,25,35.69,ON
"Oil and gas drilling, servicing and related labourers (85111)",18.08,27.54,35.15,ON
Logging and forestry labourers (85120),17,25,40.5,ON
Landscaping and grounds maintenance labourers (85121),16.55,19,25,ON
Manufacturing managers (90010),25,47.6,80.51,ON
Utilities managers (90011),38.46,54.95,80,ON
"Supervisors, mineral and metal processing (92010)",25,36.14,50.17,ON
"Supervisors, petroleum, gas and chemical processing and utilities (92011)",27.78,43,65.93,ON
"Supervisors, food and beverage processing (92012)",18,28,43.71,ON
"Supervisors, plastic and rubber products manufacturing (92013)",22,29.28,45.67,ON
"Supervisors, forest products processing (92014)",20,33.65,50,ON
"Supervisors, textile, fabric, fur and leather products processing and manufacturing (92015)",19.23,24.52,43.71,ON
"Supervisors, motor vehicle assembling (92020)",24,33.11,46.57,ON
"Supervisors, electronics and electrical products manufacturing (92021)",20,26,48.08,ON
